South of the Border,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Cardi.B#Camilla Cabello
I Dont'Care,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Justin Bieber
Remember The Name,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Eminem#50Cent
Way To Break My Heart,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Skrillex
Cross Me,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Chance The Rapper#PnB Rock
Give Life Back To Music,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers
Instant Crush,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Julian Casablancas
Get Lucky,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers#Pharrell Williams
Lose Yourself To Dance,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers#Pharrell William
Giorgio by Moroder,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Giorgio Moroder
Something In the Way,Rock,Nevermind,Nirvana,Nirvana
Lithium,Rock,Nevermind,Nirvana,Nirvana
Come as You Are,Rock,Nevermind,Nirvana,Nirvana
Stay Away,Rock,Nevermind,Nirvana,Nirvana
Lounge Act,Rock,Nevermind,Nirvana,Nirvana
BLOOD.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
GOD.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
PRIDE.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
YAH.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
DUCKWORTH.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
Flamenco Sketches,Jazz,Kind of Blue,Miles Davis,Miles Davis
So What,Jazz,Kind of Blue,Miles Davis,Miles Davis
Freddie Freeloader,Jazz,Kind of Blue,Miles Davis,Miles Davis
Blue in Green,Jazz,Kind of Blue,Miles Davis,Miles Davis
All Blues,Jazz,Kind of Blue,Miles Davis,Miles Davis
The Show Must Go on,Rock,Innuendo,Queen,Queen
Somebody To Love,Rock,A Day at the Races,Queen,Queen
Killer Queen,Rock,Sheer Heart Attack,Queen,Queen
Another One Bites the Dust,Rock,The Game,Queen,Queen
Bohemian Rhapsody,Rock,A Night at the Opera,Queen,Queen
